type,address,timestamp,problem_type_abdul,note,state,latitude,longitude,province,district,type_count
['ทางเท้า'],642/3 ถนน วงศ์สว่าง แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร 10800 ประเทศไทย,2023-05-18,['ทางเท้า'],เขตบางซื่อ ส่งต่อไปยัง สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.),ส่งต่อ(ใหม่),100.5238,13.82375,กรุงเทพมหานคร,เขตบางซื่อ,1
['ป้าย'],307 27 ถ. จรัญสนิทวงศ์ แขวง บางขุนศรี เขตบางกอกน้อย กรุงเทพมหานคร 10700 ประเทศไทย,2023-05-18,['ป้าย'],,รอรับเรื่อง,100.46771,13.75514,กรุงเทพมหานคร,เขตบางกอกน้อย,1
[''],บจก.ไลอ้อน (ประเทศไทย) แขวงบางโพงพาง เขตยานนาวา กรุงเทพมหานคร 10120 ประเทศไทย,2023-05-18,[''],,รอรับเรื่อง,100.52642,13.68149,กรุงเทพมหานคร,เขตยานนาวา,1
[''],103 ถ. จรัญสนิทวงศ์ แขวงบางพลัด เขตบางพลัด กรุงเทพมหานคร 10700 ประเทศไทย,2023-05-18,[''],,รอรับเรื่อง,100.49609,13.78564,กรุงเทพมหานคร,เขตบางพลัด,1
[''],728 ซอย ภาณุรังษี แขวง วังบูรพาภิรมย์ เขตพระนคร กรุงเทพมหานคร 10200 ประเทศไทย,2023-05-18,[''],,รอรับเรื่อง,100.50214,13.74617,กรุงเทพมหานคร,เขตพระนคร,1
"['ถนน', 'ความปลอดภัย']",ถนนสมเด็จพระเจ้าตากสิน : 429 ถนน สมเด็จพระเจ้าตากสิน แขวงคลองต้นไทร เขตคลองสาน กรุงเทพมหานคร 10600 ประเทศไทย,2023-05-18,"['ถนน', 'ความปลอดภัย']",,รอรับเรื่อง,100.49285,13.72314,กรุงเทพมหานคร,เขตคลองสาน,2
"['ถนน', 'แสงสว่าง']",45/2 ซอย เลียบคลองสอง 32 แขวงบางชัน เขตคลองสามวา กรุงเทพมหานคร 10510 ประเทศไทย,2023-05-18,"['ถนน', 'แสงสว่าง']",,รอรับเรื่อง,100.71842,13.86149,กรุงเทพมหานคร,เขตคลองสามวา,2
['ความปลอดภัย'],215/2 ซอย สาทร 13 แขวง ยานนาวา เขต สาทร กรุงเทพมหานคร 10120 ประเทศไทย,2023-05-18,['ความปลอดภัย'],,รอรับเรื่อง,100.52394,13.71979,กรุงเทพมหานคร,สาทร,1
"['ถนน', 'แสงสว่าง']",17/1 ซอย นวมินทร์ 74 แยก 3-10-17 แขวงรามอินทรา เขตคันนายาว กรุงเทพมหานคร 10230 ประเทศไทย,2023-05-18,"['ถนน', 'แสงสว่าง']",,รอรับเรื่อง,100.66763,13.815,กรุงเทพมหานคร,เขตคันนายาว,2
"['ต้นไม้', 'ร้องเรียน', 'ถนน', 'สัตว์จรจัด']",40 ซอย ปุณณวิถี 43 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260 ประเทศไทย,2023-05-18,"['ต้นไม้', 'ร้องเรียน', 'ถนน', 'สัตว์จรจัด']",,รอรับเรื่อง,100.62175,13.6952,กรุงเทพมหานคร,เขตพระโขนง,4
"['ถนน', 'ท่อระบายน้ำ']","72 Soi Suphang, Sukhumvit Road, Klongton Klongtoey,Bangkok 10110 แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110 ประเทศไทย",2023-05-18,"['ถนน', 'ท่อระบายน้ำ']",,รอรับเรื่อง,100.57657,13.72572,กรุงเทพมหานคร,เขตคลองเตย,2
['ถนน'],-  สังฆสันติสุข : โรงเรียนเซนต์เทเรซา แขวงกระทุ่มราย เขตหนองจอก กรุงเทพมหานคร 10530 ประเทศไทย,2023-05-18,['ถนน'],สำนักงานเขตหนองจอกรับเรื่อง พร้อมประสานฝ่ายที่เกี่ยวข้องดำเนินการต่อไป,กำลังดำเนินการ,100.87711,13.85198,กรุงเทพมหานคร,เขตหนองจอก,1
"['ความสะอาด', 'ถนน']",54/1 ซอย สามเสน 5 แขวงวัดสามพระยา เขตพระนคร กรุงเทพมหานคร 10200 ประเทศไทย,2023-05-18,"['ความสะอาด', 'ถนน']",,รอรับเรื่อง,100.49937,13.76627,กรุงเทพมหานคร,เขตพระนคร,2
['สัตว์จรจัด'],14 ถ. สุขสวัสดิ์ แขวงจอมทอง เขตจอมทอง กรุงเทพมหานคร 10150 ประเทศไทย,2023-05-18,['สัตว์จรจัด'],ตรวจสอบและดำเนินการจัดเก็บต่อไปครับ,กำลังดำเนินการ,100.49042,13.68329,กรุงเทพมหานคร,เขตจอมทอง,1
['เสียงรบกวน'],31/42 ______ 30 แขวงบางขุนเทียน เขตจอมทอง กรุงเทพมหานคร 10150 ประเทศไทย,2023-05-18,['เสียงรบกวน'],,รอรับเรื่อง,100.44906,13.69191,กรุงเทพมหานคร,เขตจอมทอง,1
[''],สำนักงานขนส่งเขตพื้นที่ 1 แขวง ท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150 ประเทศไทย,2023-05-18,[''],,รอรับเรื่อง,100.43868,13.62128,กรุงเทพมหานคร,เขตบางขุนเทียน,1
['ความสะอาด'],3902 แขวง ออเงิน เขตสายไหม กรุงเทพมหานคร 10220 ประเทศไทย,2023-05-18,['ความสะอาด'],,รอรับเรื่อง,100.69124,13.8973,กรุงเทพมหานคร,เขตสายไหม,1
['ถนน'],10 เฉลิมพระเกียรติ ร.9 ซอย 14 แยก 8 แขวงหนองบอน เขต ประเวศ กรุงเทพมหานคร 10250 ประเทศไทย,2023-05-18,['ถนน'],,รอรับเรื่อง,100.66097,13.67545,กรุงเทพมหานคร,ประเวศ,1
['ความสะอาด'],36/93 ถนน พัฒนาชนบท แขวงคลองสองต้นนุ่น เขตลาดกระบัง กรุงเทพมหานคร 10520 ประเทศไทย,2023-05-18,['ความสะอาด'],,รอรับเรื่อง,100.73246,13.73113,กรุงเทพมหานคร,เขตลาดกระบัง,1
"['สะพาน', 'ความปลอดภัย']",22/3 ถ. เจริญนคร แขวง สำเหร่ เขตธนบุรี กรุงเทพมหานคร 10600 ประเทศไทย,2023-05-18,"['สะพาน', 'ความปลอดภัย']",กำลังตรวจสอบ,กำลังดำเนินการ,100.49578,13.70943,กรุงเทพมหานคร,เขตธนบุรี,2
['สัตว์จรจัด'],52 ถ. เจริญกรุง แขวงบางรัก เขตบางรัก กรุงเทพมหานคร 10500 ประเทศไทย,2023-05-18,['สัตว์จรจัด'],เขตบางรัก ส่งต่อไปยัง สำนักอนามัย กทม.,ส่งต่อ(ใหม่),100.51428,13.7202,กรุงเทพมหานคร,เขตบางรัก,1
"['ถนน', 'ความปลอดภัย']",ถนนจักรเพชร : 565 ถนนจักรเพชร แขวงวังบูรพาภิรมย์ เขตพระนคร กรุงเทพมหานคร 10200 ประเทศไทย,2023-05-18,"['ถนน', 'ความปลอดภัย']",,รอรับเรื่อง,100.50155,13.74387,กรุงเทพมหานคร,เขตพระนคร,2
"['ถนน', 'ร้องเรียน']",7/192 ซอย วิภาวดีรังสิต 36 แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,2023-05-18,"['ถนน', 'ร้องเรียน']",,รอรับเรื่อง,100.56065,13.82895,กรุงเทพมหานคร,เขตจตุจักร,2
[''],116 ถ. รามคำแหง 39 แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10312 ประเทศไทย,2023-05-18,[''],เจ้าหน้าที่ ตรวจสอบ พร้อมแจ้งให้คณะกรรมการชุมชน จัดเก็บอุปกรณ์ ต่าง ๆ ให้เป็นระเบียบเรียบร้อย ไม่ให้เกะกะ กีดขวาง ทั้งนี้จะได้ทำการกวดขันอย่างต่อเนื่อง,รอรับเรื่อง,100.61289,13.75979,กรุงเทพมหานคร,เขตวังทองหลาง,1
['ถนน'],20 สวัสดิการ 2 ซอย 18 แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร 10160 ประเทศไทย,2023-05-18,['ถนน'],,รอรับเรื่อง,100.35815,13.6973,กรุงเทพมหานคร,เขตหนองแขม,1
['สะพาน'],PG9J+7X กรุงเทพมหานคร ประเทศไทย,2023-05-18,['สะพาน'],,รอรับเรื่อง,100.53236,13.71823,PG9J+7X,,1
[''],292 ถ. นาคนิวาส แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230 ประเทศไทย,2023-05-18,[''],เขตลาดพร้าวรับเรื่องและส่งเรื่องให้ฝ่ายที่เกี่ยวข้องดำเนินการตรวจสอบแล้วค่ะ,กำลังดำเนินการ,100.61002,13.81166,กรุงเทพมหานคร,เขตลาดพร้าว,1
"['ทางเท้า', 'กีดขวาง']",339/16 จรัญสนิทวงศ์ แขวง บางขุนศรี เขตบางกอกน้อย กรุงเทพมหานคร 10700 ประเทศไทย,2023-05-18,"['ทางเท้า', 'กีดขวาง']",,รอรับเรื่อง,100.46572,13.75538,กรุงเทพมหานคร,เขตบางกอกน้อย,2
[''],16 ซอย โพธิ์แก้ว 3 แยก 6/1 แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,2023-05-18,[''],,รอรับเรื่อง,100.63565,13.8008,กรุงเทพมหานคร,เขตบางกะปิ,1
"['ถนน', 'PM2.5']",431 ถ. บำรุงเมือง แขวงคลองมหานาค เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100 ประเทศไทย,2023-05-18,"['ถนน', 'PM2.5']",,รอรับเรื่อง,100.50902,13.75187,กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,2
"['ถนน', 'จราจร']",28 ซอย สุขุมวิท 47 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย,2023-05-18,"['ถนน', 'จราจร']",,รอรับเรื่อง,100.5747,13.73118,กรุงเทพมหานคร,เขตวัฒนา,2
"['แสงสว่าง', 'ถนน']",1896/1 ในสวนพระนคร ซอย ลาดกระบัง 50 แยก 1 แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520 ประเทศไทย,2023-05-18,"['แสงสว่าง', 'ถนน']",เขตลาดกระบัง ส่งต่อไปยัง สำนักงานสวนสาธารณะ สำนักสิ่งแวดล้อม,ส่งต่อ(ใหม่),100.78105,13.72112,กรุงเทพมหานคร,เขตลาดกระบัง,2
['ทางเท้า'],59/161 ซอย สุขุมวิท 103 แขวง บางนา เขตพระโขนง กรุงเทพมหานคร 10260 ประเทศไทย,2023-05-18,['ทางเท้า'],,รอรับเรื่อง,100.61595,13.6787,กรุงเทพมหานคร,เขตพระโขนง,1
['ถนน'],4 ซอย รามคำแหง 118 แยก 14 แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240 ประเทศไทย,2023-05-18,['ถนน'],,รอรับเรื่อง,100.68169,13.77482,กรุงเทพมหานคร,เขตสะพานสูง,1
[''],2 ถ. กรุงธนบุรี แขวง คลองต้นไทร เขตคลองสาน กรุงเทพมหานคร 10600 ประเทศไทย,2023-05-18,[''],เขตคลองสาน ส่งต่อไปยัง เขตวังทองหลาง,ส่งต่อ(ใหม่),100.50439,13.72053,กรุงเทพมหานคร,เขตคลองสาน,1
"['ถนน', 'ป้าย', 'ทางเท้า', 'กีดขวาง']",285 แขวงจรเข้บัว เขตลาดพร้าว กรุงเทพมหานคร 10230 ประเทศไทย,2023-05-18,"['ถนน', 'ป้าย', 'ทางเท้า', 'กีดขวาง']",เขตลาดพร้าวรับเรื่องและส่งเรื่องให้ฝ่ายที่เกี่ยวข้องดำเนินการตรวจสอบแล้วค่ะ,กำลังดำเนินการ,100.59876,13.84476,กรุงเทพมหานคร,เขตลาดพร้าว,4
"['ถนน', 'ร้องเรียน', 'คลอง']",Century PJ42+6GG ถ. อ่อนนุช แขวง พระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย,2023-05-18,"['ถนน', 'ร้องเรียน', 'คลอง']",,รอรับเรื่อง,100.60136,13.70559,กรุงเทพมหานคร,เขตวัฒนา,3
"['แสงสว่าง', 'สะพาน', 'ความปลอดภัย']",42 ถ. กาญจนาภิเษก แขวง เขต ประเวศ กรุงเทพมหานคร 10250 ประเทศไทย,2023-05-18,"['แสงสว่าง', 'สะพาน', 'ความปลอดภัย']",,รอรับเรื่อง,100.69977,13.71148,กรุงเทพมหานคร,ประเวศ,3
[''],75/1 ธนาคารกรุงไทย จำกัด (มหาชน) ถ. พระรามที่ ๖ แขวงทุ่งพญาไท เขตราชเทวี กรุงเทพมหานคร 10400 ประเทศไทย,2023-05-18,[''],,รอรับเรื่อง,100.52848,13.76763,กรุงเทพมหานคร,เขตราชเทวี,1
['ถนน'],"599, Khlong Toei District Office, 6th Floor, Khlong Toei, Khet Khlong Toei, Bangkok, 10110, แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110 ประเทศไทย",2023-05-18,['ถนน'],,รอรับเรื่อง,100.58369,13.70819,กรุงเทพมหานคร,เขตคลองเตย,1
[''],48 ถ. เลียบวารี แขวง กระทุ่มราย เขต หนองจอก กรุงเทพมหานคร 10530 ประเทศไทย,2023-05-18,[''],เขตหนองจอก ส่งต่อไปยัง โรงพยาบาลเวชการุณย์รัศมิ์ สำนักการแพทย์,ส่งต่อ(ใหม่),100.85889,13.85651,กรุงเทพมหานคร,หนองจอก,1
"['ถนน', 'PM2.5']",68/36-7 ซอยนาคบำรุง ถนนบำรุงเมือง แขวงคลองมหานาค เขตป้อมปราบศัตรูพ่าย กทม 10100 แขวงคลองมหานาค เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100 ประเทศไทย,2023-05-18,"['ถนน', 'PM2.5']",,รอรับเรื่อง,100.5127,13.75047,กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,2
"['ร้องเรียน', 'แสงสว่าง']",2 622 ซอย วิภาวดีรังสิต 3 แขวง จอมพล เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,2023-05-18,"['ร้องเรียน', 'แสงสว่าง']",,รอรับเรื่อง,100.55843,13.79716,กรุงเทพมหานคร,เขตจตุจักร,2
"['สะพาน', 'ถนน']",Unit no. OP. G02-G03 1788 ถนน เพชรบุรีตัดใหม่ แขวง บางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย,2023-05-18,"['สะพาน', 'ถนน']",เขตห้วยขวาง ส่งต่อไปยัง สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.),ส่งต่อ(ใหม่),100.5642,13.74876,กรุงเทพมหานคร,เขตห้วยขวาง,2
['น้ำท่วม'],34/8/5 Kanlapaphruek Rd แขวง บางขุนเทียน เขตจอมทอง กรุงเทพมหานคร 10150 ประเทศไทย,2023-05-18,['น้ำท่วม'],,รอรับเรื่อง,100.44186,13.69912,กรุงเทพมหานคร,เขตจอมทอง,1
['ถนน'],371 373 ถ. เยาวราช แขวง สัมพันธวงศ์ เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100 ประเทศไทย,2023-05-18,['ถนน'],,รอรับเรื่อง,100.50911,13.74083,กรุงเทพมหานคร,เขตสัมพันธวงศ์,1
['ทางเท้า'],1246 ถ. เจริญกรุง แขวงบางรัก เขตบางรัก กรุงเทพมหานคร 10500 ประเทศไทย,2023-05-18,['ทางเท้า'],เทศกิจบางรักดำเนินการจัดเก็บเรียบร้อย ขอบคุณที่แจ้งข้อมูลครับ,เสร็จสิ้น,100.51621,13.72492,กรุงเทพมหานคร,เขตบางรัก,1
"['สายไฟ', 'ความปลอดภัย', 'ถนน']",14 ซอย แจังวัฒนะ แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210 ประเทศไทย,2023-05-18,"['สายไฟ', 'ความปลอดภัย', 'ถนน']",,รอรับเรื่อง,100.56499,13.91125,กรุงเทพมหานคร,เขตหลักสี่,3
['ร้องเรียน'],56 292 ซอย วัดเวฬุวนาราม 9 แขวง ดอนเมือง เขตดอนเมือง กรุงเทพมหานคร 10210 ประเทศไทย,2023-05-18,['ร้องเรียน'],ประสานฝ่ายรักษาความสะอาดฯ ตรวจสอบดำเนินการ,กำลังดำเนินการ,100.57438,13.92302,กรุงเทพมหานคร,เขตดอนเมือง,1
"['ความสะอาด', 'ร้องเรียน']",63/236 ซอย คลองเก้า 7 แขวงสามวาตะวันออก เขตคลองสามวา กรุงเทพมหานคร 10510 ประเทศไทย,2023-05-18,"['ความสะอาด', 'ร้องเรียน']",,รอรับเรื่อง,100.78955,13.90803,กรุงเทพมหานคร,เขตคลองสามวา,2
"['ท่อระบายน้ำ', 'ความปลอดภัย']",เลขที่ 910 ถนน เพชรบุรี แขวง มักกะสัน เขตราชเทวี กรุงเทพมหานคร 10400 ประเทศไทย,2023-05-18,"['ท่อระบายน้ำ', 'ความปลอดภัย']",เขตราชเทวี ส่งต่อไปยัง กองระบบท่อระบายน้ำ สำนักการระบายน้ำ,ส่งต่อ(ใหม่),100.54109,13.74987,กรุงเทพมหานคร,เขตราชเทวี,2
['น้ำท่วม'],301 ถ. เยาวราช แขวงสัมพันธวงศ์ เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100 ประเทศไทย,2023-05-18,['น้ำท่วม'],,รอรับเรื่อง,100.50887,13.74094,กรุงเทพมหานคร,เขตสัมพันธวงศ์,1
[''],8 ถ. เจริญกรุง แขวง บางคอแหลม เขตบางคอแหลม กรุงเทพมหานคร 10120 ประเทศไทย,2023-05-18,[''],ขอรับเรื่องและส่งต่อให้หน่วยงานในรพ.รับทราบและดำเนินการตามข้อร้องเรียนค่ะ,ส่งต่อ(ใหม่),100.49463,13.69446,กรุงเทพมหานคร,เขตบางคอแหลม,1
['ทางเท้า'],87/2 CRC Tower All Seasons Place 23rd Floor Wireless Road Lumpini Khet Pathumwan Bangkok 10330 แขวง ลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330 ประเทศไทย,2023-05-18,['ทางเท้า'],,รอรับเรื่อง,100.54772,13.7391,กรุงเทพมหานคร,เขตปทุมวัน,1
['กีดขวาง'],282 ถ. สุคนธสวัสดิ์ แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230 ประเทศไทย,2023-05-18,['กีดขวาง'],เขตลาดพร้าว ส่งต่อไปยัง สน.โชคชัย,ส่งต่อ(ใหม่),100.61645,13.8243,กรุงเทพมหานคร,เขตลาดพร้าว,1
"['กีดขวาง', 'จราจร']",17 ซอย วิภาวดี-รังสิต แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,2023-05-18,"['กีดขวาง', 'จราจร']",,รอรับเรื่อง,100.56369,13.80659,กรุงเทพมหานคร,เขตจตุจักร,2
[''],959/23 ถ. พัฒนาการ แขวง สวนหลวง แขวงสวนหลวง กรุงเทพมหานคร 10250 ประเทศไทย,2023-05-18,[''],แจ้งเจ้าหน้าที่ตรวจสอบแก้ไข,กำลังดำเนินการ,100.62778,13.73534,กรุงเทพมหานคร,แขวงสวนหลวง,1
[''],282 ถ. สุคนธสวัสดิ์ แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230 ประเทศไทย,2023-05-18,[''],เขตลาดพร้าว ส่งต่อไปยัง สน.โชคชัย,ส่งต่อ(ใหม่),100.61645,13.8243,กรุงเทพมหานคร,เขตลาดพร้าว,1
"['ความสะอาด', 'ร้องเรียน']",22/1 ซอย อ่อนนุช 86 แยก 2 แขวง ประเวศ เขต ประเวศ กรุงเทพมหานคร 10250 ประเทศไทย,2023-05-18,"['ความสะอาด', 'ร้องเรียน']",ศูนย์กำจัดมูลฝอยอ่อนนุช กกฝ. สสล. รับเรื่องพร้อมประสานเจ้าหน้าที่ที่เกี่ยวข้องดำเนินการตรวจสอบต่อไป,กำลังดำเนินการ,100.68837,13.71887,กรุงเทพมหานคร,ประเวศ,2
['ทางเท้า'],อาคารสรวิศเพลส 858 ถ. ลาดพร้าว แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย,2023-05-18,['ทางเท้า'],เขตห้วยขวาง ส่งต่อไปยัง สำนักการโยธา กทม.,ส่งต่อ(ใหม่),100.5843,13.79971,กรุงเทพมหานคร,เขตห้วยขวาง,1
"['ถนน', 'ร้องเรียน', 'เสียงรบกวน']","9 สายไหม 56/1 จุดเกิดเหตุ:  (สถานที่สำคัญ / จุดสังเกต) : ถนนสายไหม 56/1 ซอย 9 บ้านเลขที่ 11/108
เขต: สายไหม
แขวง : สายไหม : 190 ซอย สายไหม 56/1 สายไหม เขตสายไหม กรุงเทพมหานคร 10220 ประเทศไทย",2023-05-18,"['ถนน', 'ร้องเรียน', 'เสียงรบกวน']",ผู้ร้องเป็นผู้ที่ลาออกไปหลายปีแล้ว และวันเกิดเหตุเข้ามาขอลายเซ็นต์โดยไม่แจ้งข้อมูลว่าจะให้รับรองไปสมัครอะไร จึงแจ้งให้ทำตามขั้นตอนลงเรื่องรับที่ฝ่ายปกครองเพื่อตรวจสอบข้อมูลว่าเคยปฏิบัติงานอยู่ที่เขตจริงหรือไม่และแจ้งลำดับขั้นตอนแล้ว,เสร็จสิ้น,100.66144,13.91856,กรุงเทพมหานคร,เขตสายไหม,3
['ท่อระบายน้ำ'],เลขที่ 904 ถนนรามอินทรา แขวงคันนายาว เขตคันนายาว แขวงคันนายาว เขตคันนายาว กรุงเทพมหานคร 10230 ประเทศไทย,2023-05-18,['ท่อระบายน้ำ'],เขตคันนายาว เชิญร่วมไปยัง ฝ่ายโยธา เขตคันนายาว,กำลังดำเนินการ,100.69633,13.81148,กรุงเทพมหานคร,เขตคันนายาว,1
"['ถนน', 'ทางเท้า']",79/55-56 ถ. แจ้งวัฒนะ แขวง อนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220 ประเทศไทย,2023-05-18,"['ถนน', 'ทางเท้า']",,รอรับเรื่อง,100.59596,13.87636,กรุงเทพมหานคร,เขตบางเขน,2
"['ทางเท้า', 'ร้องเรียน', 'ถนน']",192 ถนนพระรามที่ ๔ แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330 ประเทศไทย,2023-05-18,"['ทางเท้า', 'ร้องเรียน', 'ถนน']",,รอรับเรื่อง,100.53717,13.72978,กรุงเทพมหานคร,เขตปทุมวัน,3
['กีดขวาง'],1696 ถนน เพชรบุรี แขวง บางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย,2023-05-18,['กีดขวาง'],ฝ่าย​เทศกิจ​เขต​ห้วยขวาง​ จะจัดเจ้าหน้าที่​ตรวจสอบ​ตาม​อำนาจ​หน้าที่​ต่อไป,กำลังดำเนินการ,100.56561,13.74837,กรุงเทพมหานคร,เขตห้วยขวาง,1
['ความสะอาด'],21/1 ซอย ธำรงวินิจฉัย - ปุษยไพบูลย์ แขวงโคกแฝด เขตหนองจอก กรุงเทพมหานคร 10530 ประเทศไทย,2023-05-18,['ความสะอาด'],สำนักงานเขตหนองจอกรับเรื่อง พร้อมประสานฝ่ายที่เกี่ยวข้องดำเนินการต่อไป,กำลังดำเนินการ,100.84308,13.85495,กรุงเทพมหานคร,เขตหนองจอก,1
"['ต้นไม้', 'ท่อระบายน้ำ', 'ความปลอดภัย', 'ถนน']",413 ถนน สุขุมวิท 101/1 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260 ประเทศไทย,2023-05-18,"['ต้นไม้', 'ท่อระบายน้ำ', 'ความปลอดภัย', 'ถนน']",เขตพระโขนง เชิญร่วมไปยัง ฝ่ายรักษาความสะอาดฯ เขตพระโขนง,กำลังดำเนินการ,100.62298,13.68463,กรุงเทพมหานคร,เขตพระโขนง,4
['ความสะอาด'],63/1984 ซอย คลองเก้า 7 แขวงสามวาตะวันออก เขตคลองสามวา กรุงเทพมหานคร 10510 ประเทศไทย,2023-05-18,['ความสะอาด'],,รอรับเรื่อง,100.79204,13.90774,กรุงเทพมหานคร,เขตคลองสามวา,1
['จราจร'],219 จรัญสนิทวงศ์ แขวง บางพลัด เขตบางพลัด กรุงเทพมหานคร 10700 ประเทศไทย,2023-05-18,['จราจร'],สำนักงานเขตบางพลัดขอขอบคุณท่านที่แจ้งปัญหาให้ทราบจะได้ดำเนินการตรวจสอบต่อไป,กำลังดำเนินการ,100.50108,13.78338,กรุงเทพมหานคร,เขตบางพลัด,1
[''],MC56+MVG คลองบางบอน เขตบางบอน กรุงเทพมหานคร 10150 ประเทศไทย,2023-05-18,[''],เขตบางบอน ส่งต่อไปยัง กองบัญชาการตำรวจนครบาล (บช.น.),ส่งต่อ(ใหม่),100.41201,13.65924,กรุงเทพมหานคร,เขตบางบอน,1
