type,address,timestamp,problem_type_abdul,note,state,latitude,longitude,province,district,cluster_label
ถนน,431 ถ. บำรุงเมือง แขวงคลองมหานาค เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100 ประเทศไทย,2023-05-18,"['ถนน', 'PM2.5']",,รอรับเรื่อง,100.50902,13.75187,กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,0
ถนน,28 ซอย สุขุมวิท 47 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย,2023-05-18,"['ถนน', 'จราจร']",,รอรับเรื่อง,100.5747,13.73118,กรุงเทพมหานคร,เขตวัฒนา,2
ถนน,1896/1 ในสวนพระนคร ซอย ลาดกระบัง 50 แยก 1 แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520 ประเทศไทย,2023-05-18,"['แสงสว่าง', 'ถนน']",เขตลาดกระบัง ส่งต่อไปยัง สำนักงานสวนสาธารณะ สำนักสิ่งแวดล้อม,ส่งต่อ(ใหม่),100.78105,13.72112,กรุงเทพมหานคร,เขตลาดกระบัง,5
ทางเท้า,59/161 ซอย สุขุมวิท 103 แขวง บางนา เขตพระโขนง กรุงเทพมหานคร 10260 ประเทศไทย,2023-05-18,['ทางเท้า'],,รอรับเรื่อง,100.61595,13.6787,กรุงเทพมหานคร,เขตพระโขนง,2
ถนน,4 ซอย รามคำแหง 118 แยก 14 แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240 ประเทศไทย,2023-05-18,['ถนน'],,รอรับเรื่อง,100.68169,13.77482,กรุงเทพมหานคร,เขตสะพานสูง,4
ถนน,285 แขวงจรเข้บัว เขตลาดพร้าว กรุงเทพมหานคร 10230 ประเทศไทย,2023-05-18,"['ถนน', 'ป้าย', 'ทางเท้า', 'กีดขวาง']",เขตลาดพร้าวรับเรื่องและส่งเรื่องให้ฝ่ายที่เกี่ยวข้องดำเนินการตรวจสอบแล้วค่ะ,กำลังดำเนินการ,100.59876,13.84476,กรุงเทพมหานคร,เขตลาดพร้าว,1
ทางเท้า,285 แขวงจรเข้บัว เขตลาดพร้าว กรุงเทพมหานคร 10230 ประเทศไทย,2023-05-18,"['ถนน', 'ป้าย', 'ทางเท้า', 'กีดขวาง']",เขตลาดพร้าวรับเรื่องและส่งเรื่องให้ฝ่ายที่เกี่ยวข้องดำเนินการตรวจสอบแล้วค่ะ,กำลังดำเนินการ,100.59876,13.84476,กรุงเทพมหานคร,เขตลาดพร้าว,1
ถนน,Century PJ42+6GG ถ. อ่อนนุช แขวง พระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย,2023-05-18,"['ถนน', 'ร้องเรียน', 'คลอง']",,รอรับเรื่อง,100.60136,13.70559,กรุงเทพมหานคร,เขตวัฒนา,2
ถนน,"599, Khlong Toei District Office, 6th Floor, Khlong Toei, Khet Khlong Toei, Bangkok, 10110, แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110 ประเทศไทย",2023-05-18,['ถนน'],,รอรับเรื่อง,100.58369,13.70819,กรุงเทพมหานคร,เขตคลองเตย,2
ถนน,68/36-7 ซอยนาคบำรุง ถนนบำรุงเมือง แขวงคลองมหานาค เขตป้อมปราบศัตรูพ่าย กทม 10100 แขวงคลองมหานาค เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100 ประเทศไทย,2023-05-18,"['ถนน', 'PM2.5']",,รอรับเรื่อง,100.5127,13.75047,กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,0
ถนน,Unit no. OP. G02-G03 1788 ถนน เพชรบุรีตัดใหม่ แขวง บางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย,2023-05-18,"['สะพาน', 'ถนน']",เขตห้วยขวาง ส่งต่อไปยัง สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.),ส่งต่อ(ใหม่),100.5642,13.74876,กรุงเทพมหานคร,เขตห้วยขวาง,0
ถนน,371 373 ถ. เยาวราช แขวง สัมพันธวงศ์ เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100 ประเทศไทย,2023-05-18,['ถนน'],,รอรับเรื่อง,100.50911,13.74083,กรุงเทพมหานคร,เขตสัมพันธวงศ์,0
ทางเท้า,1246 ถ. เจริญกรุง แขวงบางรัก เขตบางรัก กรุงเทพมหานคร 10500 ประเทศไทย,2023-05-18,['ทางเท้า'],เทศกิจบางรักดำเนินการจัดเก็บเรียบร้อย ขอบคุณที่แจ้งข้อมูลครับ,เสร็จสิ้น,100.51621,13.72492,กรุงเทพมหานคร,เขตบางรัก,0
ถนน,14 ซอย แจังวัฒนะ แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210 ประเทศไทย,2023-05-18,"['สายไฟ', 'ความปลอดภัย', 'ถนน']",,รอรับเรื่อง,100.56499,13.91125,กรุงเทพมหานคร,เขตหลักสี่,1
ทางเท้า,87/2 CRC Tower All Seasons Place 23rd Floor Wireless Road Lumpini Khet Pathumwan Bangkok 10330 แขวง ลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330 ประเทศไทย,2023-05-18,['ทางเท้า'],,รอรับเรื่อง,100.54772,13.7391,กรุงเทพมหานคร,เขตปทุมวัน,0
ทางเท้า,อาคารสรวิศเพลส 858 ถ. ลาดพร้าว แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย,2023-05-18,['ทางเท้า'],เขตห้วยขวาง ส่งต่อไปยัง สำนักการโยธา กทม.,ส่งต่อ(ใหม่),100.5843,13.79971,กรุงเทพมหานคร,เขตห้วยขวาง,4
ถนน,"9 สายไหม 56/1 จุดเกิดเหตุ:  (สถานที่สำคัญ / จุดสังเกต) : ถนนสายไหม 56/1 ซอย 9 บ้านเลขที่ 11/108
เขต: สายไหม
แขวง : สายไหม : 190 ซอย สายไหม 56/1 สายไหม เขตสายไหม กรุงเทพมหานคร 10220 ประเทศไทย",2023-05-18,"['ถนน', 'ร้องเรียน', 'เสียงรบกวน']",ผู้ร้องเป็นผู้ที่ลาออกไปหลายปีแล้ว และวันเกิดเหตุเข้ามาขอลายเซ็นต์โดยไม่แจ้งข้อมูลว่าจะให้รับรองไปสมัครอะไร จึงแจ้งให้ทำตามขั้นตอนลงเรื่องรับที่ฝ่ายปกครองเพื่อตรวจสอบข้อมูลว่าเคยปฏิบัติงานอยู่ที่เขตจริงหรือไม่และแจ้งลำดับขั้นตอนแล้ว,เสร็จสิ้น,100.66144,13.91856,กรุงเทพมหานคร,เขตสายไหม,1
ถนน,79/55-56 ถ. แจ้งวัฒนะ แขวง อนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220 ประเทศไทย,2023-05-18,"['ถนน', 'ทางเท้า']",,รอรับเรื่อง,100.59596,13.87636,กรุงเทพมหานคร,เขตบางเขน,1
ทางเท้า,79/55-56 ถ. แจ้งวัฒนะ แขวง อนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220 ประเทศไทย,2023-05-18,"['ถนน', 'ทางเท้า']",,รอรับเรื่อง,100.59596,13.87636,กรุงเทพมหานคร,เขตบางเขน,1
ทางเท้า,192 ถนนพระรามที่ ๔ แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330 ประเทศไทย,2023-05-18,"['ทางเท้า', 'ร้องเรียน', 'ถนน']",,รอรับเรื่อง,100.53717,13.72978,กรุงเทพมหานคร,เขตปทุมวัน,0
ถนน,192 ถนนพระรามที่ ๔ แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330 ประเทศไทย,2023-05-18,"['ทางเท้า', 'ร้องเรียน', 'ถนน']",,รอรับเรื่อง,100.53717,13.72978,กรุงเทพมหานคร,เขตปทุมวัน,0
ถนน,413 ถนน สุขุมวิท 101/1 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260 ประเทศไทย,2023-05-18,"['ต้นไม้', 'ท่อระบายน้ำ', 'ความปลอดภัย', 'ถนน']",เขตพระโขนง เชิญร่วมไปยัง ฝ่ายรักษาความสะอาดฯ เขตพระโขนง,กำลังดำเนินการ,100.62298,13.68463,กรุงเทพมหานคร,เขตพระโขนง,2
ถนน,111 สุขาภิบาล 1 แขวงบางแค เขตบางแค กรุงเทพมหานคร 10160 ประเทศไทย,2023-05-18,"['ถนน', 'คลอง']",ฝ่ายโยธา เขตบางแค รับทราบเรื่องค่ะ,กำลังดำเนินการ,100.421,13.69925,กรุงเทพมหานคร,เขตบางแค,3
ทางเท้า,Pracharatbumpen 9 Pracharatbumpen Rd. Huay Kwang BKK TH แขวง ดินแดง เขตดินแดง กรุงเทพมหานคร 10310 ประเทศไทย,2023-05-18,['ทางเท้า'],,รอรับเรื่อง,100.57363,13.77845,กรุงเทพมหานคร,เขตดินแดง,4
ถนน,27 20 หมู่6 ซอย รามคำแหง 160 แขวงราษฎร์พัฒนา เขตสะพานสูง กรุงเทพมหานคร 10240 ประเทศไทย,2023-05-18,['ถนน'],ฝ่ายเทศกิจชุดปฏิบัติการ กำลังเร่งดำเนินการจัดเก็บป้ายหาเสียงนักการเมืองอยู่ในขณะนี้,เสร็จสิ้น,100.70432,13.7907,กรุงเทพมหานคร,เขตสะพานสูง,5
ถนน,"รัชดาภิเษก 36 แยก 9-3-6-5 รัชดาภิเษก จุดเกิดเหตุ:  (สถานที่สำคัญ / จุดสังเกต) : ซอยรัชดาภิเษก 36 แยก 9-3-6-5 ทั้งซอย
เขต: จตุจักร
แขวง : จันทรเกษม : 346/257 ซอยรัชดาภิเษก 36 แยก 9-3-6-5 แขวงจันทรเกษม เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย",2023-05-18,"['ท่อระบายน้ำ', 'ถนน']",,รอรับเรื่อง,100.58652,13.82753,กรุงเทพมหานคร,เขตจตุจักร,4
ถนน,"ชัยพฤกษ์ จุดเกิดเหตุ:  (สถานที่สำคัญ / จุดสังเกต) : วัดชัยพฤกษมาลา ราชวรวิหาร
เขต: ตลิ่งชัน
แขวง : ตลิ่งชัน : 2 ถนน ชัยพฤกษ์ แขวงตลิ่งชัน เขตตลิ่งชัน กรุงเทพมหานคร 10170 ประเทศไทย",2023-05-18,"['ถนน', 'ท่อระบายน้ำ']",,รอรับเรื่อง,100.46704,13.79535,กรุงเทพมหานคร,เขตตลิ่งชัน,0
ถนน,84/4 ซอยสุขุมวิท 62 ถ. สุขุมวิท แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260 ประเทศไทย,2023-05-18,['ถนน'],เขตพระโขนง ส่งต่อไปยัง สำนักการโยธา กทม.,ส่งต่อ(ใหม่),100.60214,13.69477,กรุงเทพมหานคร,เขตพระโขนง,2
ถนน,2/20 ซอย พหลโยธิน 40 แขวงเสนานิคม เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,2023-05-18,['ถนน'],,รอรับเรื่อง,100.57906,13.84481,กรุงเทพมหานคร,เขตจตุจักร,1
ถนน,49/10 ซอย รามอินทรา 8 แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220 ประเทศไทย,2023-05-18,"['ถนน', 'คลอง']",,รอรับเรื่อง,100.61866,13.84957,กรุงเทพมหานคร,เขตบางเขน,1
ถนน,4 ถ. เพชรบุรี แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร 10400 ประเทศไทย,2023-05-18,"['ถนน', 'ท่อระบายน้ำ']",,รอรับเรื่อง,100.5512,13.74987,กรุงเทพมหานคร,เขตราชเทวี,0
ทางเท้า,86 ถ. รัชดาภิเษก แขวง ดินแดง เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย,2023-05-18,['ทางเท้า'],,รอรับเรื่อง,100.57345,13.77841,กรุงเทพมหานคร,เขตห้วยขวาง,4
ถนน,"แจ้งวัฒนะ 6 แจ้งวัฒนะ จุดเกิดเหตุ:  (สถานที่สำคัญ / จุดสังเกต) : อยู่เลยเซเว่นกลางซอย ทาวน์เฮ้าส์จะหันหน้าเข้าทางหมู่บ้านสิรสา บ้านเลขที่ 400/36 ถึง 400/40 ประชาชนได้พูดคุยกับเจ้าหน้าที่เก็บขยะแล้วก็ยังไม่มาเก็บ แค่บ้านที่แจ้ง
เขต: หลักสี่
แขวง : ตลาดบางเขน : 400/40 ถ. แจ้งวัฒนะ แขวงตลาดบางเขน เขตหลักสี่ กรุงเทพมหานคร 10210 ประเทศไทย",2023-05-18,"['ความสะอาด', 'ถนน']",,รอรับเรื่อง,100.58776,13.8834,กรุงเทพมหานคร,เขตหลักสี่,1
ถนน,4 ซอย เพชรเกษม 40 แยก 3 แขวงบางหว้า เขตภาษีเจริญ กรุงเทพมหานคร 10160 ประเทศไทย,2023-05-18,"['ป้าย', 'แสงสว่าง', 'ร้องเรียน', 'ถนน']",,รอรับเรื่อง,100.45178,13.71772,กรุงเทพมหานคร,เขตภาษีเจริญ,0
ถนน,8 สุขุทวิท 101 แขวง บางจาก เขตพระโขนง กรุงเทพมหานคร 10260 ประเทศไทย,2023-05-18,['ถนน'],เขตพระโขนง ส่งต่อไปยัง สำนักการโยธา กทม.,ส่งต่อ(ใหม่),100.60898,13.69024,กรุงเทพมหานคร,เขตพระโขนง,2
ถนน,"พึ่งมี 24 สุขุมวิท 93 จุดเกิดเหตุ:  (สถานที่สำคัญ / จุดสังเกต) : เข้ามากลางซอยเจอศาลพระภูมิเลี้ยวซ้ายเข้ามาบ้านเลขที่ 35
เขต: พระโขนง
แขวง : บางจาก : 81 ซอย พึ่งมี 24 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260 ประเทศไทย",2023-05-18,['ถนน'],เขตพระโขนง ส่งต่อไปยัง กองบัญชาการตำรวจนครบาล (บช.น.),ส่งต่อ(ใหม่),100.61548,13.69952,กรุงเทพมหานคร,เขตพระโขนง,2
ถนน,138/2 ถนน ศรีนครินทร์ แขวง หัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,2023-05-18,['ถนน'],เขตบางกะปิ ส่งต่อไปยัง การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.),ส่งต่อ(ใหม่),100.64382,13.74709,กรุงเทพมหานคร,เขตบางกะปิ,2
ถนน,46 ซอย อยู่วิทยา 9 แขวงกระทุ่มราย เขตหนองจอก กรุงเทพมหานคร 10530 ประเทศไทย,2023-05-18,"['ถนน', 'สะพาน']",เขตหนองจอก ส่งต่อไปยัง การไฟฟ้านครหลวง เขตมีนบุรี,ส่งต่อ(ใหม่),100.8759,13.83929,กรุงเทพมหานคร,เขตหนองจอก,5
ถนน,26/318 รามอินทรา 99 แขวงคันนายาว เขตคันนายาว กรุงเทพมหานคร 10230 ประเทศไทย,2023-05-18,['ถนน'],เขตคันนายาว เชิญร่วมไปยัง ฝ่ายโยธา เขตคันนายาว,กำลังดำเนินการ,100.68225,13.82595,กรุงเทพมหานคร,เขตคันนายาว,4
ถนน,วงศ์สว่าง แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร 10800 ประเทศไทย,2023-05-18,['ถนน'],ฝ่ายปกครอง เขตบางซื่อ รับเรื่องประสานผู้เกี่ยวข้องเพื่อตรวจสอบดำเนินการแก้ไขค่ะ,กำลังดำเนินการ,100.5265,13.82991,กรุงเทพมหานคร,เขตบางซื่อ,4
ถนน,"สำนักงานเขตทวีวัฒนา Soi Utthayan 5, Thawi Watthana, Bangkok : 1 ซ. อุทยาน 5 แขวงทวีวัฒนา เขตทวีวัฒนา กรุงเทพมหานคร 10170 ประเทศไทย",2023-05-18,"['ความปลอดภัย', 'แสงสว่าง', 'ถนน', 'คนจรจัด', 'สัตว์จรจัด', 'ร้องเรียน']",,รอรับเรื่อง,100.35313,13.77294,กรุงเทพมหานคร,เขตทวีวัฒนา,0
ถนน,"นวมินทร์ 163 แยก 15 นวมินทร์  จุดเกิดเหตุ:  (สถานที่สำคัญ / จุดสังเกต) : จุดที่มีการก่อสร้างวางท่อในซอยนวมินทร์ 163 แยก 15
เขต: บึงกุ่ม
แขวง : นวลจันทร์ : ซอย, แยก 15 นวมินทร์ แขวงนวลจันทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10230 ประเทศไทย",2023-05-18,"['PM2.5', 'ท่อระบายน้ำ', 'ถนน']",สำนักสิ่งแวดล้อม กทม. ส่งต่อไปยัง ฝ่ายสิ่งแวดล้อมฯ เขตบึงกุ่ม,ส่งต่อ(ใหม่),100.6536,13.83367,กรุงเทพมหานคร,เขตบึงกุ่ม,1
ทางเท้า,596 ซ. อ่อนนุช 17 แขวงสวนหลวง กรุงเทพมหานคร 10250 ประเทศไทย,2023-05-18,['ทางเท้า'],แจ้งเจ้าหน้าที่ตรวจสอบแก้ไข,กำลังดำเนินการ,100.61233,13.71839,กรุงเทพมหานคร,แขวงสวนหลวง,2
ถนน,"เสนานิคม 1 ซอย 7 เสนานิคม 1 จุดเกิดเหตุ:  (สถานที่สำคัญ / จุดสังเกต) : เข้าไปสุดซอย  บ้านที่เผาขยะจะอยู่ด้านหลังของบ้านเลขที่ 41/21
เขต: จตุจักร
แขวง : เสนานิคม : 41/5 เสนานิคม 1 ซอย 7 แขวงเสนานิคม เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย",2023-05-18,"['ความสะอาด', 'ถนน']",,รอรับเรื่อง,100.57748,13.83467,กรุงเทพมหานคร,เขตจตุจักร,4
ถนน,339 ถนน จตุรทิศ แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร 10400 ประเทศไทย,2023-05-18,"['ความสะอาด', 'ถนน']",,รอรับเรื่อง,100.56327,13.75419,กรุงเทพมหานคร,เขตราชเทวี,0
ถนน,สำนักงานเขตบึงกุ่ม กรุงเทพมหานคร ถนน เสรีไทย แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร : 999 ถ. เสรีไทย แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10230 ประเทศไทย,2023-05-18,"['การเดินทาง', 'ถนน', 'จราจร', 'ป้าย', 'สะพาน', 'ร้องเรียน', 'ความปลอดภัย', 'แสงสว่าง', 'คลอง']",,รอรับเรื่อง,100.66962,13.78535,กรุงเทพมหานคร,เขตบึงกุ่ม,4
ถนน,"3, 21 ซอย ลาดพร้าว 101 แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย",2023-05-18,"['ถนน', 'ความปลอดภัย', 'คลอง']",เขตบางกะปิ ส่งต่อไปยัง สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.),ส่งต่อ(ใหม่),100.62878,13.78957,กรุงเทพมหานคร,เขตบางกะปิ,4
ถนน,ซอยลาดพร้าว 64 แยก 2  ถนนลาดพร้าว : QHRW+46J ซอย ลาดพร้าว 64 แยก 2 แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310 ประเทศไทย,2023-05-18,['ถนน'],อยู่ระหว่างดำเนินการตรวจสอบ,กำลังดำเนินการ,100.59551,13.79028,กรุงเทพมหานคร,เขตวังทองหลาง,4
ถนน,18 ซอย 5 แขวงสวนหลวง กรุงเทพมหานคร 10250 ประเทศไทย,2023-05-18,"['ถนน', 'ป้าย', 'ความปลอดภัย']",เขตสวนหลวง ส่งต่อไปยัง การรถไฟแห่งประเทศไทย,ส่งต่อ(ใหม่),100.63184,13.73946,กรุงเทพมหานคร,แขวงสวนหลวง,2
ถนน,"โชฏึก ข้าวหลาม จุดเกิดเหตุ:  (สถานที่สำคัญ / จุดสังเกต) : ซอยโชฏึก อยู่หลังร้านตั้งจั๊วหลี
เขต: สัมพันธวงศ์
แขวง : ตลาดน้อย : 2214, 2216 ถนน ข้าวหลาม แขวงตลาดน้อย เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100 ประเทศไทย",2023-05-18,['ถนน'],"เขตสัมพันธวงศ์ ส่งต่อไปยัง สน.พลับพลาไชย 2
เนื่องจาก ส่งต่อไปยังหน่วยงานที่เกี่ยวข้องดำเนินการตรวจสอบและแก้ไข",ส่งต่อ(ใหม่),100.51468,13.73649,กรุงเทพมหานคร,เขตสัมพันธวงศ์,0
ถนน,"126 Si Sawat Alley, แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260 ประเทศไทย",2023-05-18,"['ความสะอาด', 'ถนน']",เขตพระโขนง เชิญร่วมไปยัง ฝ่ายรักษาความสะอาดฯ เขตพระโขนง,กำลังดำเนินการ,100.61494,13.70565,กรุงเทพมหานคร,เขตพระโขนง,2
ทางเท้า,56/82 เอกชัย บางบอนเหนือ เขตบางบอน กรุงเทพมหานคร 10150 ประเทศไทย,2023-05-18,"['ทางเท้า', 'ถนน', 'กีดขวาง']",,รอรับเรื่อง,100.37156,13.66345,กรุงเทพมหานคร,เขตบางบอน,3
ถนน,56/82 เอกชัย บางบอนเหนือ เขตบางบอน กรุงเทพมหานคร 10150 ประเทศไทย,2023-05-18,"['ทางเท้า', 'ถนน', 'กีดขวาง']",,รอรับเรื่อง,100.37156,13.66345,กรุงเทพมหานคร,เขตบางบอน,3
