type,address,timestamp,problem_type_abdul,note,state,latitude,longitude,province,district
ร้องเรียน,258 พระราม 9 แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย,2023-05-18,"['ความสะอาด', 'ร้องเรียน', 'ถนน']",เขตห้วยขวาง ส่งต่อไปยัง สำนักการระบายน้ำ กทม.,ส่งต่อ(ใหม่),100.59296,13.76094,กรุงเทพมหานคร,เขตห้วยขวาง
ถนน,258 พระราม 9 แขวงบางกะปิ เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย,2023-05-18,"['ความสะอาด', 'ร้องเรียน', 'ถนน']",เขตห้วยขวาง ส่งต่อไปยัง สำนักการระบายน้ำ กทม.,ส่งต่อ(ใหม่),100.59296,13.76094,กรุงเทพมหานคร,เขตห้วยขวาง
ร้องเรียน,"สำนักงานเขตบางกอกน้อย Bang Khun Non Road, Bang Khun Non, Bangkok Noi, Bangkok : 9 99 ถ. บางขุนนนท์ แขวงบางขุนนนท์ เขตบางกอกน้อย กรุงเทพมหานคร 10700 ประเทศไทย",2023-05-18,['ร้องเรียน'],,รอรับเรื่อง,100.46807,13.77078,กรุงเทพมหานคร,เขตบางกอกน้อย
สัตว์จรจัด,424 ซอย จรัญสนิทวงศ์ 69 แขวงบางพลัด เขตบางพลัด กรุงเทพมหานคร 10700 ประเทศไทย,2023-05-18,"['สัตว์จรจัด', 'ความปลอดภัย', 'ถนน']",เขตบางพลัด ส่งต่อไปยัง กองสัตวแพทย์ สำนักอนามัย กทม.,ส่งต่อ(ใหม่),100.49188,13.7889,กรุงเทพมหานคร,เขตบางพลัด
ความปลอดภัย,424 ซอย จรัญสนิทวงศ์ 69 แขวงบางพลัด เขตบางพลัด กรุงเทพมหานคร 10700 ประเทศไทย,2023-05-18,"['สัตว์จรจัด', 'ความปลอดภัย', 'ถนน']",เขตบางพลัด ส่งต่อไปยัง กองสัตวแพทย์ สำนักอนามัย กทม.,ส่งต่อ(ใหม่),100.49188,13.7889,กรุงเทพมหานคร,เขตบางพลัด
ถนน,424 ซอย จรัญสนิทวงศ์ 69 แขวงบางพลัด เขตบางพลัด กรุงเทพมหานคร 10700 ประเทศไทย,2023-05-18,"['สัตว์จรจัด', 'ความปลอดภัย', 'ถนน']",เขตบางพลัด ส่งต่อไปยัง กองสัตวแพทย์ สำนักอนามัย กทม.,ส่งต่อ(ใหม่),100.49188,13.7889,กรุงเทพมหานคร,เขตบางพลัด
ต้นไม้,จุดสังเกต บริษัท J&T จำกัด : เลขที่ 59 ถ. ลาดหญ้า แขวงคลองสาน เขตคลองสาน กรุงเทพมหานคร 10600 ประเทศไทย,2023-05-18,"['ต้นไม้', 'ถนน']",กำลังตรวจสอบ,กำลังดำเนินการ,100.49628,13.72719,กรุงเทพมหานคร,เขตคลองสาน
ถนน,จุดสังเกต บริษัท J&T จำกัด : เลขที่ 59 ถ. ลาดหญ้า แขวงคลองสาน เขตคลองสาน กรุงเทพมหานคร 10600 ประเทศไทย,2023-05-18,"['ต้นไม้', 'ถนน']",กำลังตรวจสอบ,กำลังดำเนินการ,100.49628,13.72719,กรุงเทพมหานคร,เขตคลองสาน
กีดขวาง,35/4 ซอย รัชดาภิเษก 5 แขวง ดินแดง เขตดินแดง กรุงเทพมหานคร 10400 ประเทศไทย,2023-05-18,['กีดขวาง'],,รอรับเรื่อง,100.56874,13.76485,กรุงเทพมหานคร,เขตดินแดง
แสงสว่าง,76/10 ซอย สวนผัก 6 แขวงตลิ่งชัน เขตตลิ่งชัน กรุงเทพมหานคร 10170 ประเทศไทย,2023-05-18,['แสงสว่าง'],เขตตลิ่งชัน ส่งต่อไปยัง การไฟฟ้านครหลวง MEA,ส่งต่อ(ใหม่),100.4564,13.79509,กรุงเทพมหานคร,เขตตลิ่งชัน
ถนน,1 สุขาภิบาล ๕ ซอย 32 แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10220 ประเทศไทย,2023-05-18,"['ถนน', 'ความปลอดภัย']",,รอรับเรื่อง,100.65569,13.88435,กรุงเทพมหานคร,เขตสายไหม
ความปลอดภัย,1 สุขาภิบาล ๕ ซอย 32 แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10220 ประเทศไทย,2023-05-18,"['ถนน', 'ความปลอดภัย']",,รอรับเรื่อง,100.65569,13.88435,กรุงเทพมหานคร,เขตสายไหม
ป้าย,4 พระราม 2 ซ. 49 แขวง ท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150 ประเทศไทย,2023-05-18,"['ป้าย', 'ทางเท้า']",,รอรับเรื่อง,100.449,13.66762,กรุงเทพมหานคร,เขตบางขุนเทียน
ทางเท้า,4 พระราม 2 ซ. 49 แขวง ท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150 ประเทศไทย,2023-05-18,"['ป้าย', 'ทางเท้า']",,รอรับเรื่อง,100.449,13.66762,กรุงเทพมหานคร,เขตบางขุนเทียน
ถนน,รามคำแหง 44 รามคำแหง : 106 ถนน รามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,2023-05-18,"['ถนน', 'ทางเท้า']",,รอรับเรื่อง,100.64087,13.76201,กรุงเทพมหานคร,เขตบางกะปิ
ทางเท้า,รามคำแหง 44 รามคำแหง : 106 ถนน รามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,2023-05-18,"['ถนน', 'ทางเท้า']",,รอรับเรื่อง,100.64087,13.76201,กรุงเทพมหานคร,เขตบางกะปิ
ทางเท้า,4 พระราม 2 ซ. 49 แขวง ท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150 ประเทศไทย,2023-05-18,"['ทางเท้า', 'ป้าย']",,รอรับเรื่อง,100.449,13.66762,กรุงเทพมหานคร,เขตบางขุนเทียน
ป้าย,4 พระราม 2 ซ. 49 แขวง ท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150 ประเทศไทย,2023-05-18,"['ทางเท้า', 'ป้าย']",,รอรับเรื่อง,100.449,13.66762,กรุงเทพมหานคร,เขตบางขุนเทียน
ร้องเรียน,สำนักงานเขตหลักสี่ ซอย แจ้งวัฒนะ 10 แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร : 999 ซอย แจ้งวัฒนะ 10 แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210 ประเทศไทย,2023-05-18,"['ร้องเรียน', 'สอบถาม']",,รอรับเรื่อง,100.57894,13.88749,กรุงเทพมหานคร,เขตหลักสี่
สอบถาม,สำนักงานเขตหลักสี่ ซอย แจ้งวัฒนะ 10 แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร : 999 ซอย แจ้งวัฒนะ 10 แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 10210 ประเทศไทย,2023-05-18,"['ร้องเรียน', 'สอบถาม']",,รอรับเรื่อง,100.57894,13.88749,กรุงเทพมหานคร,เขตหลักสี่
ป้าย,8 พระราม 2 ซ. 49 แขวง ท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150 ประเทศไทย,2023-05-18,['ป้าย'],,รอรับเรื่อง,100.44908,13.66764,กรุงเทพมหานคร,เขตบางขุนเทียน
ความสะอาด,2207 ถ. เจริญกรุง แขวงวัดพระยาไกร เขตบางคอแหลม กรุงเทพมหานคร 10120 ประเทศไทย,2023-05-18,['ความสะอาด'],,รอรับเรื่อง,100.50737,13.70636,กรุงเทพมหานคร,เขตบางคอแหลม
จราจร,9/2 ถ. พหลโยธิน แขวง จอมพล เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,2023-05-18,['จราจร'],,รอรับเรื่อง,100.55363,13.7964,กรุงเทพมหานคร,เขตจตุจักร
ความสะอาด,16/359 เทียนทะเล แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150 ประเทศไทย,2023-05-18,"['ความสะอาด', 'ท่อระบายน้ำ', 'ถนน']",,รอรับเรื่อง,100.432,13.60782,กรุงเทพมหานคร,เขตบางขุนเทียน
ท่อระบายน้ำ,16/359 เทียนทะเล แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150 ประเทศไทย,2023-05-18,"['ความสะอาด', 'ท่อระบายน้ำ', 'ถนน']",,รอรับเรื่อง,100.432,13.60782,กรุงเทพมหานคร,เขตบางขุนเทียน
ถนน,16/359 เทียนทะเล แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150 ประเทศไทย,2023-05-18,"['ความสะอาด', 'ท่อระบายน้ำ', 'ถนน']",,รอรับเรื่อง,100.432,13.60782,กรุงเทพมหานคร,เขตบางขุนเทียน
ทางเท้า,หน้าเซเว่นหัวหมาก21 24 ถนน รามคำแหง แขวง หัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,2023-05-18,['ทางเท้า'],,รอรับเรื่อง,100.63589,13.75197,กรุงเทพมหานคร,เขตบางกะปิ
ความสะอาด,206 ซอย สุขสันต์ 28 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230 ประเทศไทย,2023-05-18,['ความสะอาด'],,รอรับเรื่อง,100.59056,13.81109,กรุงเทพมหานคร,เขตลาดพร้าว
ทางเท้า,RHV9+H2R ถนน งามวงศ์วาน แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,2023-05-18,"['ทางเท้า', 'ความปลอดภัย']",,รอรับเรื่อง,100.56767,13.84398,กรุงเทพมหานคร,เขตจตุจักร
ความปลอดภัย,RHV9+H2R ถนน งามวงศ์วาน แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,2023-05-18,"['ทางเท้า', 'ความปลอดภัย']",,รอรับเรื่อง,100.56767,13.84398,กรุงเทพมหานคร,เขตจตุจักร
ถนน,340/3 ถนน รามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,2023-05-18,"['ถนน', 'ทางเท้า', 'ท่อระบายน้ำ']",,รอรับเรื่อง,100.60618,13.74807,กรุงเทพมหานคร,เขตบางกะปิ
ทางเท้า,340/3 ถนน รามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,2023-05-18,"['ถนน', 'ทางเท้า', 'ท่อระบายน้ำ']",,รอรับเรื่อง,100.60618,13.74807,กรุงเทพมหานคร,เขตบางกะปิ
ท่อระบายน้ำ,340/3 ถนน รามคำแหง แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,2023-05-18,"['ถนน', 'ทางเท้า', 'ท่อระบายน้ำ']",,รอรับเรื่อง,100.60618,13.74807,กรุงเทพมหานคร,เขตบางกะปิ
ถนน,เอกชัย แขวงบางบอนใต้ เขตบางบอน กรุงเทพมหานคร : 1 ซอย เอกชัย 135/1 แขวงบางบอนใต้ เขตบางบอน กรุงเทพมหานคร 10150 ประเทศไทย,2023-05-18,['ถนน'],,รอรับเรื่อง,100.36885,13.63414,กรุงเทพมหานคร,เขตบางบอน
สะพาน,1 1 ถนน รามคำแหง แขวง หัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,2023-05-18,"['สะพาน', 'ความปลอดภัย']",,รอรับเรื่อง,100.61432,13.75911,กรุงเทพมหานคร,เขตบางกะปิ
ความปลอดภัย,1 1 ถนน รามคำแหง แขวง หัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย,2023-05-18,"['สะพาน', 'ความปลอดภัย']",,รอรับเรื่อง,100.61432,13.75911,กรุงเทพมหานคร,เขตบางกะปิ
ถนน,42 ถนนพระรามที่ ๔ แขวงวังใหม่ เขตปทุมวัน กรุงเทพมหานคร 10330 ประเทศไทย,2023-05-18,['ถนน'],.,ส่งต่อ(ใหม่),100.5217,13.73558,กรุงเทพมหานคร,เขตปทุมวัน
แสงสว่าง,67/87 ถ. จอมทอง แขวงจอมทอง เขตจอมทอง กรุงเทพมหานคร 10150 ประเทศไทย,2023-05-18,['แสงสว่าง'],เขตจอมทอง ส่งต่อไปยัง การไฟฟ้านครหลวง MEA,ส่งต่อ(ใหม่),100.47402,13.69538,กรุงเทพมหานคร,เขตจอมทอง
ถนน,50 ถนนเลียบคลองภาษีเจริญฝั่งเหนือ แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร 10160 ประเทศไทย,2023-05-18,"['ถนน', 'คลอง']",,รอรับเรื่อง,100.35023,13.68186,กรุงเทพมหานคร,เขตหนองแขม
คลอง,50 ถนนเลียบคลองภาษีเจริญฝั่งเหนือ แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร 10160 ประเทศไทย,2023-05-18,"['ถนน', 'คลอง']",,รอรับเรื่อง,100.35023,13.68186,กรุงเทพมหานคร,เขตหนองแขม
ต้นไม้,50 ถนนเลียบคลองภาษีเจริญฝั่งเหนือ แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร 10160 ประเทศไทย,2023-05-18,"['ต้นไม้', 'ถนน', 'คลอง']",,รอรับเรื่อง,100.35023,13.68186,กรุงเทพมหานคร,เขตหนองแขม
ถนน,50 ถนนเลียบคลองภาษีเจริญฝั่งเหนือ แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร 10160 ประเทศไทย,2023-05-18,"['ต้นไม้', 'ถนน', 'คลอง']",,รอรับเรื่อง,100.35023,13.68186,กรุงเทพมหานคร,เขตหนองแขม
คลอง,50 ถนนเลียบคลองภาษีเจริญฝั่งเหนือ แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร 10160 ประเทศไทย,2023-05-18,"['ต้นไม้', 'ถนน', 'คลอง']",,รอรับเรื่อง,100.35023,13.68186,กรุงเทพมหานคร,เขตหนองแขม
สะพาน,นิมิตใหม่ 19 นิมิตใหม่ : VP2J+7C5 แขวงทรายกองดิน เขตคลองสามวา กรุงเทพมหานคร 10510 ประเทศไทย,2023-05-18,"['สะพาน', 'ถนน', 'คลอง']",รับทราบปัญหาเรื่องแจ้งดังกล่าว,กำลังดำเนินการ,100.73114,13.85058,กรุงเทพมหานคร,เขตคลองสามวา
ถนน,นิมิตใหม่ 19 นิมิตใหม่ : VP2J+7C5 แขวงทรายกองดิน เขตคลองสามวา กรุงเทพมหานคร 10510 ประเทศไทย,2023-05-18,"['สะพาน', 'ถนน', 'คลอง']",รับทราบปัญหาเรื่องแจ้งดังกล่าว,กำลังดำเนินการ,100.73114,13.85058,กรุงเทพมหานคร,เขตคลองสามวา
คลอง,นิมิตใหม่ 19 นิมิตใหม่ : VP2J+7C5 แขวงทรายกองดิน เขตคลองสามวา กรุงเทพมหานคร 10510 ประเทศไทย,2023-05-18,"['สะพาน', 'ถนน', 'คลอง']",รับทราบปัญหาเรื่องแจ้งดังกล่าว,กำลังดำเนินการ,100.73114,13.85058,กรุงเทพมหานคร,เขตคลองสามวา
ถนน,1281 ซอย สุขุมวิท 66/1 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260 ประเทศไทย,2023-05-18,"['ถนน', 'ร้องเรียน', 'เสียงรบกวน']",,รอรับเรื่อง,100.60406,13.68154,กรุงเทพมหานคร,เขตพระโขนง
ร้องเรียน,1281 ซอย สุขุมวิท 66/1 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260 ประเทศไทย,2023-05-18,"['ถนน', 'ร้องเรียน', 'เสียงรบกวน']",,รอรับเรื่อง,100.60406,13.68154,กรุงเทพมหานคร,เขตพระโขนง
เสียงรบกวน,1281 ซอย สุขุมวิท 66/1 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260 ประเทศไทย,2023-05-18,"['ถนน', 'ร้องเรียน', 'เสียงรบกวน']",,รอรับเรื่อง,100.60406,13.68154,กรุงเทพมหานคร,เขตพระโขนง
ร้องเรียน,128 ซ. เอกชัย 30 แขวงบางขุนเทียน เขตจอมทอง กรุงเทพมหานคร 10150 ประเทศไทย,2023-05-18,"['ร้องเรียน', 'ถนน']",,รอรับเรื่อง,100.45224,13.69055,กรุงเทพมหานคร,เขตจอมทอง
ถนน,128 ซ. เอกชัย 30 แขวงบางขุนเทียน เขตจอมทอง กรุงเทพมหานคร 10150 ประเทศไทย,2023-05-18,"['ร้องเรียน', 'ถนน']",,รอรับเรื่อง,100.45224,13.69055,กรุงเทพมหานคร,เขตจอมทอง
ท่อระบายน้ำ,129/39 ถนน เพชรเกษมสายเก่า แขวง วัดท่าพระ เขตบางกอกใหญ่ กรุงเทพมหานคร 10600 ประเทศไทย,2023-05-18,"['ท่อระบายน้ำ', 'ความปลอดภัย', 'ถนน']",เขตบางกอกใหญ่ ส่งต่อไปยัง สำนักการโยธา กทม.,ส่งต่อ(ใหม่),100.47579,13.72869,กรุงเทพมหานคร,เขตบางกอกใหญ่
ความปลอดภัย,129/39 ถนน เพชรเกษมสายเก่า แขวง วัดท่าพระ เขตบางกอกใหญ่ กรุงเทพมหานคร 10600 ประเทศไทย,2023-05-18,"['ท่อระบายน้ำ', 'ความปลอดภัย', 'ถนน']",เขตบางกอกใหญ่ ส่งต่อไปยัง สำนักการโยธา กทม.,ส่งต่อ(ใหม่),100.47579,13.72869,กรุงเทพมหานคร,เขตบางกอกใหญ่
ถนน,129/39 ถนน เพชรเกษมสายเก่า แขวง วัดท่าพระ เขตบางกอกใหญ่ กรุงเทพมหานคร 10600 ประเทศไทย,2023-05-18,"['ท่อระบายน้ำ', 'ความปลอดภัย', 'ถนน']",เขตบางกอกใหญ่ ส่งต่อไปยัง สำนักการโยธา กทม.,ส่งต่อ(ใหม่),100.47579,13.72869,กรุงเทพมหานคร,เขตบางกอกใหญ่
ถนน,392/1 ถนน หลวงแพ่ง แขวง ขุมทอง เขตลาดกระบัง กรุงเทพมหานคร 10520 ประเทศไทย,2023-05-18,"['ถนน', 'น้ำท่วม']",,รอรับเรื่อง,100.85593,13.69507,กรุงเทพมหานคร,เขตลาดกระบัง
